Date,Open,High,Low,Close,Volume
2024-04-29,105.16,105.67,104.78,105.32,400810
2024-04-30,105.54,105.78,105.50,105.72,789256
2024-05-01,103.60,104.23,103.04,103.69,1043241
2024-05-02,105.38,106.34,105.09,105.31,731133
2024-05-03,104.19,104.30,104.09,104.14,1064014
2024-05-06,104.95,105.22,104.47,105.19,823855
2024-05-07,105.66,105.92,105.19,105.49,641290
2024-05-08,104.60,104.68,104.36,104.44,629342
2024-05-09,102.76,103.85,102.59,103.07,856185
2024-05-10,103.70,103.93,103.09,103.84,861231
2024-05-13,104.12,104.27,103.65,104.03,640868
2024-05-14,105.19,105.27,104.62,104.90,804459
2024-05-15,105.72,105.91,105.23,105.80,1353914
2024-05-16,107.92,108.64,107.77,107.81,1111817
2024-05-17,105.60,105.80,105.09,105.71,1019036
2024-05-20,106.55,107.09,106.00,106.45,627029
2024-05-21,106.70,106.96,105.50,106.21,952448
2024-05-22,107.73,108.46,106.90,107.55,938779
2024-05-23,108.31,108.35,107.38,108.15,917610
2024-05-24,108.51,108.71,108.36,108.61,625805
2024-05-27,108.92,109.01,108.60,108.75,657589
2024-05-28,109.90,110.88,109.81,110.05,727836
2024-05-29,111.21,112.17,110.70,111.51,755097
2024-05-30,111.72,112.12,111.62,111.74,823668
2024-05-31,113.27,113.61,112.69,113.22,1034988
2024-06-03,114.14,114.71,113.10,114.01,681450
2024-06-04,114.16,114.43,113.66,114.42,831885
2024-06-05,115.84,116.17,114.88,115.53,1205606
2024-06-06,114.44,114.51,114.20,114.36,1006017
2024-06-07,113.53,113.84,112.79,113.38,1087360
2024-06-10,112.50,113.06,112.36,113.04,1033375
2024-06-11,115.03,115.24,114.75,114.91,1590061
2024-06-12,113.58,114.08,113.35,114.03,1116446
2024-06-13,113.53,114.35,113.26,113.67,1064580
2024-06-14,115.02,115.37,114.37,115.04,1104276
2024-06-17,112.99,113.00,112.67,112.89,936380
2024-06-18,112.10,112.61,111.76,111.97,817027
2024-06-19,109.71,110.33,109.25,109.74,1107701
2024-06-20,110.49,111.34,110.45,110.99,1163989
2024-06-21,112.79,112.99,112.11,112.32,782169
2024-06-24,114.26,114.86,113.46,113.80,921433
2024-06-25,114.29,114.80,114.13,114.23,542054
2024-06-26,115.82,116.15,114.92,115.77,651602
2024-06-27,115.32,115.59,114.79,114.91,1375814
2024-06-28,113.84,114.71,113.53,113.70,1131508
2024-07-01,110.92,111.29,110.91,111.12,887327
2024-07-02,110.62,111.43,110.46,110.97,1084472
2024-07-03,111.55,111.58,110.89,111.13,915010
2024-07-04,108.71,109.14,108.63,109.14,1373049
2024-07-05,106.89,107.65,106.81,107.40,674753
2024-07-08,106.92,107.40,106.37,106.90,1082341
2024-07-09,107.71,108.18,106.45,107.77,1311491
2024-07-10,109.20,109.62,108.42,109.40,1050516
2024-07-11,110.94,111.11,110.69,110.74,1058623
2024-07-12,112.91,113.31,112.67,113.01,1192887
2024-07-15,113.79,114.16,113.66,114.02,818225
2024-07-16,114.69,114.99,114.54,114.85,756290
2024-07-17,113.80,114.36,113.39,113.78,769309
2024-07-18,112.73,113.54,112.53,112.96,838916
2024-07-19,110.49,110.70,110.36,110.45,1106140
2024-07-22,109.56,110.49,109.06,110.46,1027172
2024-07-23,109.80,110.95,109.66,109.87,642295
2024-07-24,107.74,108.06,107.48,107.83,1141371
2024-07-25,108.54,109.01,108.49,108.66,1096201
2024-07-26,108.16,108.22,107.73,107.95,798003
2024-07-29,108.69,108.86,108.42,108.77,814523
2024-07-30,110.23,110.51,109.43,109.94,1040549
2024-07-31,110.06,110.54,109.89,110.42,660556
2024-08-01,112.37,112.87,111.87,112.43,314820
2024-08-02,110.91,111.20,109.95,111.05,1298095
2024-08-05,112.61,113.17,112.31,112.92,830305
2024-08-06,109.04,110.01,108.83,109.34,1635901
2024-08-07,108.75,109.01,107.80,108.43,1024708
2024-08-08,110.06,110.94,109.71,110.20,1064000
2024-08-09,109.37,110.09,108.99,109.69,1148210
2024-08-12,109.78,110.94,109.63,110.09,513620
2024-08-13,112.03,112.11,111.32,111.64,899756
2024-08-14,114.43,114.78,114.00,114.33,1015302
2024-08-15,114.01,114.22,113.14,114.06,716898
2024-08-16,112.98,113.55,112.76,113.37,676157
2024-08-19,113.31,113.48,113.18,113.21,841696
2024-08-20,112.34,112.81,111.86,112.35,1061577
2024-08-21,113.46,114.41,113.45,113.96,816687
2024-08-22,112.91,113.37,111.93,112.75,1154468
2024-08-23,115.17,115.50,114.74,114.96,798752
2024-08-26,113.98,114.53,113.31,114.02,1454471
2024-08-27,111.41,111.99,111.25,111.58,1105288
2024-08-28,111.16,111.36,110.85,111.35,1094620
2024-08-29,111.30,111.79,111.10,111.40,891657
2024-08-30,111.71,112.22,111.56,112.05,644564
2024-09-02,113.68,113.69,113.34,113.38,525870
2024-09-03,113.93,115.21,113.81,113.97,837716
2024-09-04,114.78,115.17,113.41,114.31,971996
2024-09-05,110.34,110.70,110.24,110.59,1158340
2024-09-06,110.29,110.94,110.12,110.17,676449
2024-09-09,110.11,110.34,110.01,110.05,647201
2024-09-10,108.02,108.87,108.00,108.32,813201
2024-09-11,108.20,108.39,107.77,108.15,542696
2024-09-12,108.61,108.66,107.81,108.26,1284952
2024-09-13,110.05,110.70,108.93,109.82,724631
2024-09-16,107.61,107.71,107.02,107.69,474081
2024-09-17,107.87,108.14,107.72,107.99,205691
2024-09-18,107.24,107.32,106.14,107.24,1142109
2024-09-19,106.99,107.12,106.53,107.02,720521
2024-09-20,106.50,107.09,105.79,106.65,1215017
2024-09-23,110.02,110.06,108.77,109.95,860358
2024-09-24,110.62,110.89,110.30,110.79,1322491
2024-09-25,111.06,111.20,110.59,110.64,823961
2024-09-26,111.07,111.26,109.63,110.77,860289
2024-09-27,109.86,110.12,109.56,109.90,762948
2024-09-30,109.12,109.67,109.09,109.14,1148358
2024-10-01,108.39,108.60,107.76,108.53,709603
2024-10-02,106.71,106.84,106.11,106.71,967339
2024-10-03,104.85,105.00,104.47,104.68,1068918
2024-10-04,106.01,106.63,105.74,105.94,991701
2024-10-07,105.76,106.33,105.64,105.65,1087705
2024-10-08,107.19,108.37,106.35,107.26,839001
2024-10-09,106.68,107.31,106.43,106.77,1174858
2024-10-10,107.30,107.54,106.45,107.34,885562
2024-10-11,104.40,104.60,104.00,104.18,608663
2024-10-14,103.86,104.33,103.55,103.91,689076
2024-10-15,104.63,104.78,104.38,104.77,1178537
2024-10-16,106.31,107.55,105.66,106.59,1195247
2024-10-17,105.39,105.46,104.79,105.01,955397
2024-10-18,105.64,106.48,105.53,105.56,956230
2024-10-21,105.65,105.85,104.66,105.20,915684
2024-10-22,104.56,105.12,104.01,104.86,694634
2024-10-23,103.55,103.66,103.45,103.63,1100129
2024-10-24,103.45,103.73,103.45,103.46,1065948
2024-10-25,104.54,105.09,104.40,104.76,746149
2024-10-28,105.46,105.53,104.91,105.34,1121571
2024-10-29,107.72,108.55,107.63,107.90,719837
2024-10-30,104.76,105.27,104.36,105.21,1243282
2024-10-31,103.36,103.47,103.14,103.19,922032
2024-11-01,103.16,103.48,102.97,103.17,1216227
2024-11-04,103.19,103.33,103.09,103.11,864881
2024-11-05,102.57,102.92,102.16,102.52,948224
2024-11-06,105.17,105.46,105.13,105.23,533424
2024-11-07,106.01,106.19,105.48,106.02,771469
2024-11-08,105.81,106.10,104.78,106.07,1085859
2024-11-11,107.06,107.07,106.18,106.68,996000
2024-11-12,105.11,105.59,104.83,105.38,766890
2024-11-13,104.50,104.78,104.35,104.47,671473
2024-11-14,103.52,103.73,103.35,103.62,659333
2024-11-15,103.04,103.33,102.86,103.24,904560
2024-11-18,104.08,104.14,104.01,104.06,1268651
2024-11-19,106.92,107.14,106.80,107.03,902576
2024-11-20,109.79,110.15,109.59,109.95,883698
2024-11-21,110.35,111.23,109.94,110.55,1193000
2024-11-22,109.68,109.73,109.05,109.60,794825
2024-11-25,110.44,111.53,109.65,110.66,1260200
2024-11-26,112.21,113.26,111.71,112.18,1082546
2024-11-27,111.76,111.95,111.67,111.92,939347
2024-11-28,109.48,109.63,109.18,109.42,1190568
2024-11-29,110.46,110.85,110.40,110.49,744741
2024-12-02,110.68,110.82,110.38,110.72,895895
2024-12-03,110.38,110.43,109.90,110.32,881248
2024-12-04,108.43,108.73,108.08,108.56,850657
2024-12-05,108.92,108.96,108.83,108.86,1112676
2024-12-06,107.80,107.94,107.39,107.75,1250619
2024-12-09,105.83,106.04,105.49,105.79,921618
2024-12-10,106.08,106.48,105.33,105.93,1294618
2024-12-11,106.61,107.29,106.00,106.73,1095369
2024-12-12,104.20,104.38,103.53,104.30,1071294
2024-12-13,106.27,107.86,105.43,106.50,1246216
2024-12-16,104.75,105.14,104.57,104.75,616981
2024-12-17,103.53,104.33,103.25,103.34,357905
2024-12-18,104.02,104.39,103.69,104.18,893673
2024-12-19,103.44,103.83,103.28,103.75,1176850
2024-12-20,103.34,103.76,103.02,103.05,1014277
2024-12-23,99.90,100.22,99.89,100.10,1202281
2024-12-24,100.86,101.06,100.28,100.69,830770
2024-12-25,99.68,100.15,99.52,99.80,653851
2024-12-26,100.45,101.06,100.22,100.78,423086
2024-12-27,99.68,100.40,99.01,99.98,521369
2024-12-30,100.74,101.24,99.89,100.73,636947
2024-12-31,101.50,101.72,100.73,101.22,1095455
2025-01-01,101.32,101.64,101.15,101.31,948427
2025-01-02,98.88,99.27,98.40,99.15,986290
2025-01-03,98.24,99.13,97.65,98.47,502698
2025-01-06,97.95,98.01,97.87,97.97,992573
2025-01-07,98.35,99.19,97.82,98.63,911599
2025-01-08,100.16,100.31,99.72,100.29,1097395
2025-01-09,101.63,102.09,101.09,101.56,1012883
2025-01-10,103.23,103.60,102.58,103.14,747282
2025-01-13,103.73,104.17,102.87,103.47,1360121
2025-01-14,105.35,105.72,104.34,105.47,675140
2025-01-15,105.86,106.27,105.74,105.81,1428758
2025-01-16,106.14,107.47,105.52,105.69,529025
2025-01-17,106.04,106.05,105.61,105.82,980410
2025-01-20,105.43,105.64,104.75,105.47,1255809
2025-01-21,106.36,106.91,105.89,106.25,792305
2025-01-22,106.21,106.39,105.45,106.35,915641
2025-01-23,108.85,109.35,108.41,108.97,1165444
2025-01-24,111.27,111.38,111.02,111.32,633381
2025-01-27,113.00,113.95,112.67,113.15,1124998
2025-01-28,114.65,115.20,114.12,114.25,902333
2025-01-29,113.87,114.36,113.81,114.17,579118
2025-01-30,115.33,116.13,114.57,115.06,1260407
2025-01-31,114.55,114.95,113.75,114.34,1376226
2025-02-03,115.88,116.05,115.64,115.82,1091902
2025-02-04,116.95,117.26,116.07,116.60,943462
2025-02-05,117.65,118.01,117.11,117.42,886284
2025-02-06,119.71,119.80,119.53,119.71,1257411
2025-02-07,118.75,119.68,118.22,118.48,503604
2025-02-10,119.99,120.36,119.49,120.32,989593
2025-02-11,119.80,120.25,119.63,119.68,835650
2025-02-12,122.08,122.38,121.72,121.87,955149
2025-02-13,122.23,122.49,121.99,122.43,1250936
2025-02-14,122.92,123.33,122.44,123.00,799991
2025-02-17,122.08,122.83,121.16,121.89,1131864
2025-02-18,122.89,123.61,122.43,122.99,1354242
2025-02-19,122.78,122.94,122.27,122.50,1163594
2025-02-20,123.90,124.42,123.21,123.64,914277
2025-02-21,123.42,124.29,122.79,123.60,924067
2025-02-24,123.63,124.27,123.49,123.74,535256
2025-02-25,125.71,126.01,125.01,125.49,1121692
2025-02-26,126.27,126.67,126.09,126.25,1070936
2025-02-27,126.23,126.64,125.55,126.13,1256398
2025-02-28,126.50,126.63,125.56,126.32,689838
2025-03-03,126.78,127.17,125.30,126.35,1420169
2025-03-04,125.21,125.79,124.74,125.18,1164309
2025-03-05,123.83,123.99,123.58,123.79,699176
2025-03-06,123.62,124.25,123.32,123.96,1238881
2025-03-07,125.76,126.52,125.46,125.65,426397
2025-03-10,124.90,125.59,124.38,124.65,705362
2025-03-11,124.91,125.34,124.34,125.13,832257
2025-03-12,130.46,130.77,129.92,130.34,868164
2025-03-13,129.26,129.47,128.92,129.22,569643
2025-03-14,130.39,130.82,130.17,130.33,1167430
2025-03-17,130.56,131.12,129.96,130.68,63810
2025-03-18,130.93,131.63,130.33,130.87,524193
2025-03-19,129.12,129.84,128.63,128.98,771920
2025-03-20,126.91,127.94,126.85,127.15,790723
2025-03-21,129.11,129.61,128.70,129.31,990082
2025-03-24,128.05,128.48,127.30,128.40,1118398
2025-03-25,128.66,128.98,128.52,128.80,1097026
2025-03-26,126.92,127.98,126.45,126.47,740124
2025-03-27,129.22,129.87,128.34,128.89,762645
2025-03-28,126.26,126.64,125.89,126.53,831258
2025-03-31,125.29,126.55,124.74,125.50,611999
2025-04-01,126.38,126.63,125.40,126.22,1165404
2025-04-02,128.10,129.07,127.81,128.09,1231677
2025-04-03,128.27,128.83,127.30,128.16,893699
2025-04-04,128.93,129.44,128.43,128.72,1382773
2025-04-07,128.18,128.65,126.85,127.99,616402
2025-04-08,129.15,129.38,128.19,128.97,1044740
2025-04-09,131.85,132.78,131.34,131.78,1006544
2025-04-10,135.39,135.70,135.16,135.19,929982
2025-04-11,134.41,134.86,134.39,134.54,1127407
2025-04-14,133.49,133.84,133.14,133.65,813301
2025-04-15,133.97,134.87,133.05,134.13,1416605
2025-04-16,134.13,136.22,133.25,134.28,326666
2025-04-17,134.80,135.13,134.30,134.70,1031255
2025-04-18,133.90,134.03,133.05,133.64,670566
2025-04-21,134.32,135.20,133.69,134.43,1092372
2025-04-22,135.56,136.56,134.91,135.88,1193109
2025-04-23,135.74,136.25,135.07,135.87,1630193
2025-04-24,134.17,134.34,133.93,134.15,725939
2025-04-25,134.28,134.65,133.69,134.44,798493
2025-04-28,131.38,131.79,131.05,131.56,916459
2025-04-29,129.72,130.09,128.96,129.55,762457
2025-04-30,130.77,131.21,130.56,130.60,781817
2025-05-01,125.24,125.89,124.83,125.33,657966
2025-05-02,126.43,126.48,125.33,126.29,1162343
2025-05-05,128.37,128.58,127.82,128.08,811824
2025-05-06,126.83,127.00,126.60,126.78,393660
2025-05-07,125.72,126.11,125.58,125.71,1115842
2025-05-08,125.48,126.25,125.05,125.63,937412
2025-05-09,125.26,125.55,125.17,125.21,572006
2025-05-12,124.81,124.99,124.57,124.86,827626
2025-05-13,123.99,125.01,123.69,123.84,810382
2025-05-14,123.53,124.66,122.78,123.97,1177813
2025-05-15,124.06,124.27,123.50,124.07,836922
2025-05-16,125.39,125.98,125.21,125.31,472330
2025-05-19,125.75,125.87,125.63,125.67,1123595
2025-05-20,126.54,126.78,126.17,126.35,679541
2025-05-21,126.37,127.15,126.08,126.12,546692
2025-05-22,125.35,125.46,124.67,125.35,1072276
2025-05-23,124.40,125.24,124.14,124.16,966989
2025-05-26,125.74,126.41,125.11,125.97,1119240
2025-05-27,125.27,125.51,124.55,125.34,1063317
2025-05-28,126.48,126.83,125.49,126.33,723259
2025-05-29,122.39,123.10,121.85,122.49,680914
2025-05-30,121.98,122.42,120.61,121.63,1057661
2025-06-02,123.48,124.01,123.16,123.29,774344
2025-06-03,123.67,124.26,123.01,123.94,572933
2025-06-04,124.45,124.75,123.91,124.37,1071450
2025-06-05,124.91,125.50,124.82,125.24,984681
2025-06-06,127.73,127.83,127.54,127.59,955934
2025-06-09,129.17,129.37,128.50,129.10,895239
2025-06-10,129.92,130.18,129.33,129.71,1149518
2025-06-11,130.76,131.29,130.35,130.50,418912
2025-06-12,128.65,128.74,128.35,128.69,400698
2025-06-13,129.22,129.94,129.07,129.44,1636186
2025-06-16,127.30,127.44,127.08,127.31,780512
2025-06-17,125.55,125.90,125.49,125.60,522346
2025-06-18,126.84,127.62,126.80,127.18,947234
2025-06-19,127.91,129.20,127.17,128.00,660452
2025-06-20,128.58,128.78,128.49,128.61,1012933
2025-06-23,128.96,128.99,128.21,128.84,703736
2025-06-24,129.03,129.96,128.87,128.96,845253
2025-06-25,129.21,130.03,128.51,129.00,924799
2025-06-26,130.55,131.51,130.05,130.95,819315
2025-06-27,131.54,132.57,130.84,131.48,1135524
2025-06-30,133.00,133.20,132.22,133.17,945617
2025-07-01,133.58,133.78,133.20,133.51,769726
2025-07-02,133.27,134.17,132.23,133.58,1007049
2025-07-03,131.17,132.76,130.84,131.33,1057419
2025-07-04,129.74,130.07,129.49,129.62,904003
2025-07-07,129.16,129.80,128.67,129.32,624796
2025-07-08,132.05,132.96,130.69,131.87,1341157
2025-07-09,129.84,130.40,129.11,129.49,1076836
2025-07-10,128.62,129.28,128.07,128.51,735824
2025-07-11,129.98,130.92,129.44,129.79,667697
2025-07-14,128.33,128.86,127.82,128.24,855189
2025-07-15,128.73,128.97,128.71,128.76,1084639
2025-07-16,127.87,128.53,127.24,128.04,519113
2025-07-17,128.31,128.97,128.13,128.29,400026
2025-07-18,126.90,127.28,126.66,126.85,517271
2025-07-21,126.94,127.52,126.43,127.10,1064610
2025-07-22,124.72,124.94,124.09,124.59,775461
2025-07-23,122.90,123.47,122.79,122.87,953119
2025-07-24,124.12,125.38,123.83,124.18,1036423
2025-07-25,121.17,121.71,120.85,121.29,1092830
2025-07-28,124.89,125.54,124.32,124.90,1132795
2025-07-29,122.92,123.50,122.67,123.25,836999
2025-07-30,127.03,127.59,125.91,126.73,577047
2025-07-31,127.03,127.47,125.21,126.83,1250293
2025-08-01,124.64,125.82,124.61,124.69,1373188
2025-08-04,122.04,122.89,121.28,122.62,860394
2025-08-05,121.56,122.03,121.34,121.48,1265137
2025-08-06,121.52,121.97,121.28,121.48,407833
2025-08-07,124.96,124.96,124.28,124.43,840342
2025-08-08,124.35,124.64,123.90,124.44,680290
2025-08-11,125.14,125.25,124.37,124.75,970213
2025-08-12,125.58,125.95,124.38,125.29,611694
2025-08-13,124.86,125.56,124.49,125.07,1024915
2025-08-14,122.11,122.63,122.00,122.20,1221905
2025-08-15,124.47,124.68,123.81,124.19,1244697
2025-08-18,124.73,125.55,124.27,124.80,424767
2025-08-19,122.12,122.20,121.54,122.19,700497
2025-08-20,124.21,124.22,123.29,124.00,908898
2025-08-21,122.88,123.62,122.01,123.07,1037496
2025-08-22,124.99,125.97,124.22,125.35,962020
2025-08-25,125.50,126.10,125.40,125.70,732105
2025-08-26,126.12,126.43,125.36,126.03,640041
2025-08-27,124.89,125.98,124.01,124.80,948721
2025-08-28,125.85,126.28,125.37,125.94,639172
2025-08-29,124.96,125.02,124.54,124.99,845901
2025-09-01,125.16,125.57,124.10,124.99,872557
2025-09-02,124.67,125.37,123.75,124.92,1134303
2025-09-03,126.35,126.94,126.18,126.51,1009135
2025-09-04,125.94,126.51,125.77,126.23,911211
2025-09-05,125.13,125.29,124.81,125.06,739000
2025-09-08,126.81,127.04,126.79,126.99,1011850
2025-09-09,125.72,125.94,125.30,125.82,529927
2025-09-10,125.20,125.60,124.71,125.12,803172
2025-09-11,126.28,126.72,125.02,125.82,818912
2025-09-12,127.29,127.88,127.23,127.39,845762
2025-09-15,127.24,127.54,126.36,127.25,981343
2025-09-16,126.91,127.05,126.10,126.62,940145
2025-09-17,127.06,127.63,126.55,127.15,709390
2025-09-18,126.71,126.89,126.60,126.77,556241
2025-09-19,124.59,124.78,124.29,124.70,1396490
2025-09-22,124.39,124.91,124.25,124.26,961761
2025-09-23,123.23,123.66,123.00,123.15,912136
2025-09-24,125.31,125.40,124.18,124.93,856576
2025-09-25,124.17,124.19,123.81,124.11,1157004
2025-09-26,124.47,125.43,124.11,124.51,1171758
2025-09-29,123.74,124.02,122.87,123.48,577578
2025-09-30,122.38,122.57,122.08,122.19,1249171
2025-10-01,125.22,125.68,123.72,124.50,708889
2025-10-02,124.09,124.59,123.05,123.86,858174
2025-10-03,124.02,124.77,122.93,123.83,736517
2025-10-06,123.46,124.16,122.93,123.66,818176
2025-10-07,123.27,123.65,122.57,123.47,541312
2025-10-08,122.79,123.59,122.70,122.82,947530
2025-10-09,122.57,122.92,122.28,122.58,875903
2025-10-10,122.70,123.43,122.22,123.27,449858
2025-10-13,125.31,125.75,125.13,125.60,724217
2025-10-14,125.77,126.06,125.30,125.70,981808
2025-10-15,126.00,126.98,125.22,126.22,798764
2025-10-16,126.38,126.64,126.12,126.16,792070
2025-10-17,127.01,128.20,126.93,127.54,1046301
2025-10-20,127.42,127.75,127.26,127.56,463198
2025-10-21,128.75,128.96,128.13,128.74,1284754
2025-10-22,125.98,126.25,125.89,126.21,1050448
2025-10-23,124.99,125.21,124.35,124.87,918149
2025-10-24,122.54,123.54,122.36,122.63,774429
2025-10-27,123.07,123.16,122.46,122.95,659882
2025-10-28,122.74,122.92,122.39,122.56,1191775
2025-10-29,123.52,123.81,123.19,123.56,1057154
2025-10-30,123.49,124.28,123.11,123.26,771494
2025-10-31,122.08,122.34,120.82,121.70,643755
2025-11-03,124.05,124.36,123.98,124.12,572300
2025-11-04,122.92,123.16,122.38,123.12,870052
2025-11-05,124.65,125.55,124.39,124.67,801679
2025-11-06,125.50,125.83,125.34,125.44,946772
2025-11-07,125.35,125.71,124.88,125.10,624335
2025-11-10,128.34,128.63,128.21,128.30,1283831
2025-11-11,128.29,128.87,128.01,128.21,863162
2025-11-12,130.22,130.38,129.91,130.07,1428248
2025-11-13,126.90,127.50,126.04,127.28,1223562
2025-11-14,126.70,127.02,126.36,126.61,1130484
2025-11-17,128.08,128.61,127.55,128.47,695805
2025-11-18,131.28,131.56,130.50,130.94,1046050
2025-11-19,132.70,132.76,132.03,132.57,839768
2025-11-20,133.34,133.67,133.25,133.42,1026135
2025-11-21,134.06,134.59,133.92,134.46,1176759
2025-11-24,130.59,131.24,130.46,130.98,624411
2025-11-25,131.52,132.20,130.91,131.82,966110
2025-11-26,134.08,134.92,133.11,133.75,1007126
2025-11-27,134.63,135.24,134.05,134.82,384269
2025-11-28,134.78,135.10,133.92,134.61,523840
2025-12-01,134.44,136.00,133.54,134.34,1083897
